                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  2.953,                 4.2226,                 4.3226,                0.00356,                 0.7125,                0.00513,                0.00208,                 2.3958,                  3.456,                 4.1606,              0.0001429,              0.0001429,              0.0001429
                      2,                 2.9848,                 3.8489,                 4.2202,                0.00366,                0.70833,                0.00482,                0.00194,                 2.3972,                 3.4449,                 4.1633,             0.00029712,             0.00029712,             0.00029712
                      3,                 2.9629,                 3.5162,                 4.0659,                0.00367,                0.73333,                0.00536,                0.00209,                  2.406,                 3.4904,                 4.1901,             0.00044823,             0.00044823,             0.00044823
                      4,                 2.8375,                 3.2164,                 3.9544,                0.00371,                0.73333,                0.00619,                0.00205,                 2.4653,                 3.5269,                 4.3115,             0.00059622,             0.00059622,             0.00059622
                      5,                 2.8588,                  3.192,                 3.7779,                0.00492,                0.73333,                0.00646,                0.00209,                 2.4221,                  3.512,                 4.4676,              0.0007411,              0.0007411,              0.0007411
                      6,                  3.009,                 3.0838,                 3.7243,                 0.0031,                0.42083,                0.00532,                0.00211,                  2.448,                 3.6625,                   4.49,             0.00088287,             0.00088287,             0.00088287
                      7,                 2.7748,                 2.8265,                   3.56,                 0.0031,                0.42083,                0.00609,                0.00199,                 2.4693,                 3.6839,                 4.4708,              0.0010215,              0.0010215,              0.0010215
                      8,                 2.8226,                 2.8751,                  3.562,                0.00349,                0.42083,                0.00588,                0.00259,                  2.617,                 3.6642,                 4.5452,              0.0011571,              0.0011571,              0.0011571
                      9,                 2.6926,                 2.8524,                 3.4781,                0.01203,                0.32917,                0.01126,                0.00185,                  2.757,                 4.2269,                 4.6821,              0.0012895,              0.0012895,              0.0012895
                     10,                 2.6556,                 2.6211,                 3.3366,                0.69267,                0.04167,                0.04607,                0.00837,                 2.7947,                 3.9114,                 4.7599,              0.0013017,              0.0013017,              0.0013017
                     11,                 2.7205,                 2.6877,                 3.3173,                0.00433,                0.21667,                0.00791,                0.00137,                 2.7267,                 4.4552,                 4.8545,              0.0012875,              0.0012875,              0.0012875
                     12,                 2.6135,                 2.4653,                 3.2721,                 0.5241,                0.41667,                0.06455,                  0.021,                 2.7173,                 72.922,                 4.7613,              0.0012734,              0.0012734,              0.0012734
                     13,                 2.5794,                 2.4468,                 3.2462,                0.51471,                0.39583,                0.01665,                0.00668,                 3.2301,                 159.95,                 4.7409,              0.0012592,              0.0012592,              0.0012592
                     14,                 2.4801,                 2.4533,                 3.2391,                0.55952,                0.20833,                0.06795,                0.03298,                 2.6559,                 38.082,                 3.6181,              0.0012451,              0.0012451,              0.0012451
                     15,                 2.3184,                 2.3263,                 3.0763,                0.08086,                0.29167,                0.11448,                0.05098,                 2.0932,                 3.1698,                 3.0777,              0.0012309,              0.0012309,              0.0012309
                     16,                 2.3973,                 2.3014,                 3.0587,                0.37304,                0.57917,                0.45698,                0.24582,                 1.9981,                 3.0339,                 3.1031,              0.0012168,              0.0012168,              0.0012168
                     17,                 2.2839,                 2.2178,                 2.9963,                0.43605,                0.67368,                0.45785,                 0.1594,                 2.5179,                 6.4691,                 4.1449,              0.0012026,              0.0012026,              0.0012026
                     18,                 2.1572,                 2.0988,                 2.8795,                0.41781,                 0.4875,                0.38979,                0.18596,                 2.1875,                  2.643,                 3.2429,              0.0011885,              0.0011885,              0.0011885
                     19,                 2.1755,                  2.228,                 2.8693,                0.33787,                0.62529,                0.36592,                0.20854,                 2.1331,                  4.231,                 3.4419,              0.0011744,              0.0011744,              0.0011744
                     20,                 2.1268,                 2.0083,                 2.8378,                0.40082,                 0.6625,                0.49627,                0.25582,                 1.9512,                 2.2078,                 3.0535,              0.0011602,              0.0011602,              0.0011602
                     21,                 2.0946,                 1.9653,                 2.7983,                0.46067,                 0.6625,                0.50922,                0.24478,                 1.8887,                 3.2294,                 3.0261,              0.0011461,              0.0011461,              0.0011461
                     22,                 2.1968,                 2.0575,                 2.8564,                 0.3878,                0.55833,                0.43372,                 0.2022,                 1.8184,                 2.9049,                 2.8973,              0.0011319,              0.0011319,              0.0011319
                     23,                 2.0228,                 1.9326,                 2.7523,                0.65153,                 0.3125,                 0.3059,                 0.1579,                 1.8621,                  11.23,                  2.958,              0.0011178,              0.0011178,              0.0011178
                     24,                 1.9922,                  1.814,                 2.7066,                0.39871,                0.65833,                0.54365,                0.32395,                 1.9039,                 3.8842,                 3.0174,              0.0011036,              0.0011036,              0.0011036
                     25,                 2.0417,                 1.9635,                 2.7693,                0.70357,                0.59656,                0.60277,                0.36154,                 1.8887,                 1.9302,                    2.8,              0.0010895,              0.0010895,              0.0010895
                     26,                 2.0135,                 1.8345,                 2.7499,                0.57132,                0.59947,                0.64441,                0.37589,                 1.8557,                 1.8703,                 2.7053,              0.0010753,              0.0010753,              0.0010753
                     27,                 1.9333,                 1.7535,                 2.6718,                0.36932,                0.27083,                0.27406,                0.13221,                 1.9742,                 2.4877,                 3.1463,              0.0010612,              0.0010612,              0.0010612
                     28,                 1.8717,                 1.7275,                 2.5775,                0.62414,                0.62135,                0.64751,                0.39839,                 1.6037,                 1.7648,                 2.5762,               0.001047,               0.001047,               0.001047
                     29,                 1.8887,                 1.7074,                 2.6142,                0.56465,                0.69583,                0.57908,                0.36881,                 1.6139,                  1.612,                 2.5218,              0.0010329,              0.0010329,              0.0010329
                     30,                  1.876,                 1.7029,                 2.5875,                0.44275,                 0.7304,                0.56879,                 0.3464,                 1.6279,                 1.8076,                 2.5172,              0.0010187,              0.0010187,              0.0010187
                     31,                  1.825,                 1.6802,                 2.5297,                0.74522,                   0.25,                0.36374,                0.23184,                 1.5794,                  2.483,                  2.597,              0.0010046,              0.0010046,              0.0010046
                     32,                 1.8597,                 1.5778,                  2.549,                0.77612,                0.75655,                0.75068,                0.48118,                 1.5296,                 1.5519,                 2.4205,             0.00099044,             0.00099044,             0.00099044
                     33,                 1.8435,                 1.6111,                 2.5438,                0.64278,                 0.6954,                0.61981,                0.30202,                 1.7389,                 2.4526,                 2.6631,             0.00097629,             0.00097629,             0.00097629
                     34,                 1.7501,                 1.5262,                 2.4832,                0.54104,                0.71667,                0.61381,                0.35106,                 1.8109,                 2.1718,                 2.9006,             0.00096215,             0.00096215,             0.00096215
                     35,                 1.7345,                 1.5083,                 2.4819,                0.60978,                 0.7125,                0.67938,                 0.4067,                 1.6294,                 1.9338,                 2.5701,               0.000948,               0.000948,               0.000948
                     36,                 1.6548,                 1.5043,                 2.4078,                0.64023,                 0.7125,                0.70746,                0.44536,                 1.6119,                 2.0506,                 2.4948,             0.00093385,             0.00093385,             0.00093385
                     37,                 1.6504,                 1.4163,                 2.3606,                0.60389,                0.68388,                0.71372,                0.48666,                 1.4901,                 1.6972,                 2.4112,              0.0009197,              0.0009197,              0.0009197
                     38,                 1.6847,                 1.4404,                 2.3805,                0.59881,                 0.6135,                 0.7026,                 0.4293,                 1.6136,                 1.7454,                 2.6291,             0.00090556,             0.00090556,             0.00090556
                     39,                 1.6899,                  1.456,                 2.3874,                0.45685,                0.71629,                0.61006,                0.41421,                 1.4447,                 1.7563,                 2.4515,             0.00089141,             0.00089141,             0.00089141
                     40,                 1.6854,                 1.4951,                  2.383,                0.59037,                0.66614,                0.55842,                0.39575,                 1.4354,                 1.7704,                 2.4566,             0.00087726,             0.00087726,             0.00087726
                     41,                 1.6133,                 1.3923,                 2.3455,                0.62178,                0.74167,                0.66834,                0.39169,                 1.4351,                 2.2021,                 2.3637,             0.00086312,             0.00086312,             0.00086312
                     42,                 1.5809,                 1.3118,                  2.314,                0.64628,                0.73778,                0.73844,                0.50232,                 1.3046,                 1.4769,                 2.1909,             0.00084897,             0.00084897,             0.00084897
