                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.9304,                 4.2881,                 4.3326,                0.00378,                  0.775,                0.00501,                0.00199,                 2.5958,                 3.5213,                 4.1593,              0.0001429,              0.0001429,              0.0001429
                      2,                 2.9254,                 3.9118,                 4.2032,                0.00372,                  0.775,                0.00403,                0.00158,                 2.6076,                 3.5187,                 4.1599,              0.0002986,              0.0002986,              0.0002986
                      3,                 2.9359,                 3.6462,                 4.0356,                 0.0039,                    0.8,                0.00403,                0.00152,                 2.6017,                  3.598,                 4.2006,             0.00045275,             0.00045275,             0.00045275
                      4,                 2.8615,                 3.3114,                 3.8713,                0.00389,                    0.8,                  0.004,                0.00145,                 2.5815,                 3.7333,                 4.2746,             0.00060535,             0.00060535,             0.00060535
                      5,                 2.8148,                 3.1863,                 3.7436,                0.00401,                0.73333,                0.00435,                0.00163,                 2.5116,                 3.6291,                 4.5666,             0.00075638,             0.00075638,             0.00075638
                      6,                 2.8972,                 3.1844,                 3.6482,                0.00413,                0.75417,                0.00729,                 0.0026,                 2.5385,                 3.4836,                 4.5342,             0.00090586,             0.00090586,             0.00090586
                      7,                 2.7268,                 3.0322,                 3.4875,                0.00425,                0.75417,                0.00623,                0.00228,                 2.5441,                 3.6632,                 4.6463,              0.0010538,              0.0010538,              0.0010538
                      8,                 2.8197,                 2.9066,                 3.4594,                0.00444,                0.82083,                0.00645,                0.00232,                  2.549,                 3.4624,                 4.4926,              0.0012002,              0.0012002,              0.0012002
                      9,                 2.6642,                  2.893,                 3.4052,                0.68058,                 0.1875,                0.16006,                0.06982,                 2.2366,                 3.4577,                  4.205,               0.001345,               0.001345,               0.001345
                     10,                 2.7322,                 2.7148,                 3.4017,                0.54197,                 0.0625,                 0.0405,                0.01506,                  2.109,                  3.493,                 4.2449,              0.0013653,              0.0013653,              0.0013653
                     11,                 2.7365,                 2.7265,                 3.3662,                 0.0021,                0.26667,                0.00153,                0.00064,                 2.4558,                 4.9949,                  4.614,              0.0013583,              0.0013583,              0.0013583
